Borough,Major Category,Minor Category,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,Year 2009,Boroughs,No. of Criminal Incidents
Barking and Dagenham,Burglary,Burglary in a Dwelling,180,149,155,112,135,119,149,124,159,180,184,157,1803,Barking and Dagenham,20140
Barking and Dagenham,Burglary,Burglary in Other Buildings,51,67,64,80,69,51,56,49,58,39,51,55,690,Barnet,26108
Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,70,74,56,61,65,69,62,59,58,44,56,48,722,Bexley,15778
Barking and Dagenham,Criminal Damage,Criminal Damage To Motor Vehicle,115,107,173,134,151,97,103,80,72,88,92,66,1278,Brent,28847
Barking and Dagenham,Criminal Damage,Criminal Damage To Other Building,22,21,16,24,19,12,9,21,7,15,12,12,190,Bromley,24555
Barking and Dagenham,Criminal Damage,Other Criminal Damage,44,51,73,62,62,50,59,63,67,47,49,30,657,Camden,33967
Barking and Dagenham,Drugs,Drug Trafficking,5,6,6,4,7,6,6,8,8,13,7,9,85,Croydon,33124
Barking and Dagenham,Drugs,Other Drugs,1,0,0,0,0,0,0,0,0,0,0,0,1,Ealing,33210
Barking and Dagenham,Drugs,Possession Of Drugs,80,64,141,65,52,108,68,85,62,114,69,68,976,Enfield,24180
Barking and Dagenham,Fraud or Forgery,Counted per Victim,58,51,63,81,62,69,73,57,60,66,92,60,792,Greenwich,26339
Barking and Dagenham,Fraud or Forgery,Other Fraud & Forgery,28,25,38,45,35,45,43,41,42,50,28,19,439,Hackney,28961
Barking and Dagenham,Other Notifiable Offences,Going Equipped,0,2,2,0,2,2,3,1,1,0,2,0,15,Hammersmith and Fulham,23179
Barking and Dagenham,Other Notifiable Offences,Other Notifiable,25,29,30,21,33,29,46,24,34,33,18,17,339,Haringey,26272
Barking and Dagenham,Robbery,Business Property,13,8,4,5,4,5,1,7,8,10,6,6,77,Harrow,15286
Barking and Dagenham,Robbery,Personal Property,99,57,69,56,57,56,76,65,84,54,40,61,774,Havering,17142
Barking and Dagenham,Sexual Offences,Other Sexual,11,14,16,12,12,18,21,23,12,7,20,12,178,Hillingdon,24924
Barking and Dagenham,Sexual Offences,Rape,7,9,7,5,2,5,10,6,2,5,7,6,71,Hounslow,23504
Barking and Dagenham,Theft and Handling,Handling Stolen Goods,4,2,11,1,3,7,3,2,4,7,2,5,51,Islington,28858
Barking and Dagenham,Theft and Handling,Motor Vehicle Interference & Tampering,9,8,14,7,10,10,10,6,5,5,6,6,96,Kensington and Chelsea,20837
Barking and Dagenham,Theft and Handling,Other Theft,138,121,147,146,123,128,126,137,156,144,130,125,1621,Kingston upon Thames,11130
Barking and Dagenham,Theft and Handling,Other Theft Person,20,30,28,28,35,18,28,31,32,37,38,38,363,Lambeth,35084
Barking and Dagenham,Theft and Handling,Theft From Motor Vehicle,121,140,157,184,149,134,125,128,128,102,130,137,1635,Lewisham,29825
Barking and Dagenham,Theft and Handling,Theft From Shops,72,59,66,88,72,59,53,56,47,50,66,62,750,Merton,14786
Barking and Dagenham,Theft and Handling,Theft/Taking Of Motor Vehicle,86,108,88,87,96,71,67,58,85,86,70,65,967,Newham,33373
Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycle,6,18,28,26,25,23,21,20,20,35,15,16,253,Redbridge,24057
Barking and Dagenham,Violence Against the Person,Assault with Injury,164,148,165,169,181,161,188,198,163,151,146,149,1983,Richmond upon Thames,11695
Barking and Dagenham,Violence Against the Person,Common Assault,104,111,106,107,98,111,130,113,106,102,93,101,1282,Southwark,36766
Barking and Dagenham,Violence Against the Person,Grievous Bodily Harm,20,20,36,31,40,29,30,26,24,19,19,10,304,Sutton,13137
Barking and Dagenham,Violence Against the Person,Harassment,101,112,122,92,94,143,136,127,128,119,100,96,1370,Tower Hamlets,27147
Barking and Dagenham,Violence Against the Person,Murder,0,0,1,1,0,0,0,0,0,0,1,0,3,Waltham Forest,27492
Barking and Dagenham,Violence Against the Person,Offensive Weapon,14,19,19,6,21,11,12,10,9,11,10,3,145,Wandsworth,25660
Barking and Dagenham,Violence Against the Person,Other violence,17,17,25,22,15,27,22,21,15,10,23,16,230,Westminster,63856
Barking and Dagenham,Violence Against the Person,Wounding/GBH,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Barnet,Burglary,Burglary in a Dwelling,255,175,223,200,231,221,223,211,246,322,319,317,2943,,
Barnet,Burglary,Burglary in Other Buildings,108,89,79,97,110,140,128,86,85,81,100,78,1181,,
Barnet,Criminal Damage,Criminal Damage To Dwelling,45,52,62,41,63,59,39,62,48,52,52,37,612,,
Barnet,Criminal Damage,Criminal Damage To Motor Vehicle,115,72,109,100,105,104,102,107,117,89,99,51,1170,,
Barnet,Criminal Damage,Criminal Damage To Other Building,15,22,32,26,28,22,28,19,15,22,19,14,262,,
Barnet,Criminal Damage,Other Criminal Damage,57,37,56,49,62,69,59,49,60,54,51,52,655,,
Barnet,Drugs,Drug Trafficking,9,7,7,8,7,16,10,11,6,15,8,3,107,,
Barnet,Drugs,Other Drugs,0,0,0,0,0,0,0,1,0,0,0,0,1,,
Barnet,Drugs,Possession Of Drugs,86,102,127,87,120,103,119,103,113,166,160,132,1418,,
Barnet,Fraud or Forgery,Counted per Victim,88,53,88,82,74,89,70,74,98,76,70,70,932,,
Barnet,Fraud or Forgery,Other Fraud & Forgery,50,54,44,33,49,42,42,40,42,49,34,42,521,,
Barnet,Other Notifiable Offences,Going Equipped,4,4,0,2,1,1,1,0,3,7,4,0,27,,
Barnet,Other Notifiable Offences,Other Notifiable,30,17,29,27,25,30,23,30,26,17,13,19,286,,
Barnet,Robbery,Business Property,8,14,12,4,9,12,15,12,7,7,8,8,116,,
Barnet,Robbery,Personal Property,78,71,80,81,69,62,73,68,54,61,66,71,834,,
Barnet,Sexual Offences,Other Sexual,25,12,25,23,18,15,17,26,25,17,15,17,235,,
Barnet,Sexual Offences,Rape,4,4,3,4,8,9,9,10,9,7,11,2,80,,
Barnet,Theft and Handling,Handling Stolen Goods,5,7,9,8,9,10,7,3,4,6,9,6,83,,
Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,20,14,15,25,24,24,14,9,8,9,15,15,192,,
Barnet,Theft and Handling,Other Theft,253,198,264,237,230,237,258,238,218,274,240,211,2858,,
Barnet,Theft and Handling,Other Theft Person,63,67,100,83,81,81,75,72,75,88,108,94,987,,
Barnet,Theft and Handling,Theft From Motor Vehicle,320,187,270,228,245,269,300,245,250,200,251,239,3004,,
Barnet,Theft and Handling,Theft From Shops,120,128,127,141,155,123,127,101,123,114,140,122,1521,,
Barnet,Theft and Handling,Theft/Taking Of Motor Vehicle,59,65,61,64,84,78,75,75,67,76,64,63,831,,
Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,7,7,7,13,27,57,38,37,28,22,18,13,274,,
Barnet,Violence Against the Person,Assault with Injury,115,143,143,131,131,141,160,147,114,138,132,94,1589,,
Barnet,Violence Against the Person,Common Assault,149,122,106,130,127,100,132,106,131,137,126,116,1482,,
Barnet,Violence Against the Person,Grievous Bodily Harm,22,30,29,30,19,14,12,10,13,17,17,12,225,,
Barnet,Violence Against the Person,Harassment,121,87,133,123,132,100,119,127,135,119,100,93,1389,,
Barnet,Violence Against the Person,Murder,0,0,0,0,0,0,0,0,0,1,0,0,1,,
Barnet,Violence Against the Person,Offensive Weapon,12,15,7,17,11,4,13,13,11,14,3,6,126,,
Barnet,Violence Against the Person,Other violence,18,10,11,12,14,12,13,9,13,19,15,20,166,,
Barnet,Violence Against the Person,Wounding/GBH,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bexley,Burglary,Burglary in a Dwelling,116,115,105,117,113,77,99,102,126,119,129,134,1352,,
Bexley,Burglary,Burglary in Other Buildings,63,61,79,67,48,68,45,70,64,40,68,47,720,,
Bexley,Criminal Damage,Criminal Damage To Dwelling,52,42,55,56,58,52,53,49,47,40,39,48,591,,
Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,121,114,157,108,134,94,102,92,98,87,97,84,1288,,
Bexley,Criminal Damage,Criminal Damage To Other Building,17,33,21,28,16,10,18,22,17,12,17,5,216,,
Bexley,Criminal Damage,Other Criminal Damage,52,49,68,66,65,67,53,53,70,60,53,41,697,,
Bexley,Drugs,Drug Trafficking,4,5,4,1,5,5,7,6,5,4,2,4,52,,
Bexley,Drugs,Other Drugs,2,0,0,0,0,0,0,1,0,0,0,2,5,,
Bexley,Drugs,Possession Of Drugs,64,65,110,35,63,85,108,48,34,50,73,65,800,,
Bexley,Fraud or Forgery,Counted per Victim,39,29,46,47,47,28,35,49,39,51,45,59,514,,
Bexley,Fraud or Forgery,Other Fraud & Forgery,7,19,13,9,9,20,18,12,20,13,20,15,175,,
Bexley,Other Notifiable Offences,Going Equipped,0,1,1,0,0,0,0,0,3,2,1,2,10,,
Bexley,Other Notifiable Offences,Other Notifiable,16,15,23,12,11,16,24,14,10,18,10,7,176,,
Bexley,Robbery,Business Property,4,6,3,6,4,2,4,4,7,5,3,4,52,,
Bexley,Robbery,Personal Property,27,24,38,31,23,11,25,18,22,26,18,11,274,,
Bexley,Sexual Offences,Other Sexual,10,7,10,19,11,12,9,13,12,14,14,6,137,,
Bexley,Sexual Offences,Rape,3,1,1,5,5,4,3,2,0,5,5,2,36,,
Bexley,Theft and Handling,Handling Stolen Goods,4,4,6,3,3,0,5,4,2,4,4,0,39,,
Bexley,Theft and Handling,Motor Vehicle Interference & Tampering,20,14,18,19,17,16,18,11,8,16,8,9,174,,
Bexley,Theft and Handling,Other Theft,90,95,99,105,128,125,136,101,117,128,101,96,1321,,
Bexley,Theft and Handling,Other Theft Person,8,10,12,12,9,15,14,9,14,23,14,26,166,,
Bexley,Theft and Handling,Theft From Motor Vehicle,159,89,104,111,137,142,99,106,93,120,149,74,1383,,
Bexley,Theft and Handling,Theft From Shops,69,86,104,59,78,94,68,71,79,57,63,67,895,,
Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,80,62,49,63,62,78,89,74,64,73,48,62,804,,
Bexley,Theft and Handling,Theft/Taking of Pedal Cycle,7,8,7,10,9,5,16,17,25,11,11,7,133,,
Bexley,Violence Against the Person,Assault with Injury,117,110,113,118,143,114,111,111,92,112,98,89,1328,,
Bexley,Violence Against the Person,Common Assault,73,64,70,82,74,68,88,71,71,88,71,66,886,,
Bexley,Violence Against the Person,Grievous Bodily Harm,8,6,21,13,22,15,15,13,12,12,10,14,161,,
Bexley,Violence Against the Person,Harassment,60,82,80,91,86,92,105,98,108,114,93,104,1113,,
Bexley,Violence Against the Person,Murder,0,0,0,0,0,0,0,0,1,1,0,0,2,,
Bexley,Violence Against the Person,Offensive Weapon,6,8,9,10,10,8,15,9,12,8,5,4,104,,
Bexley,Violence Against the Person,Other violence,12,16,14,16,18,20,16,10,12,10,19,11,174,,
Bexley,Violence Against the Person,Wounding/GBH,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Brent,Burglary,Burglary in a Dwelling,282,237,207,177,213,203,216,177,194,271,316,269,2762,,
Brent,Burglary,Burglary in Other Buildings,64,63,70,57,86,126,83,71,66,91,80,71,928,,
Brent,Criminal Damage,Criminal Damage To Dwelling,56,58,68,54,75,68,59,61,53,56,52,45,705,,
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,83,74,83,118,149,109,78,104,83,103,92,79,1155,,
Brent,Criminal Damage,Criminal Damage To Other Building,19,14,34,22,30,15,29,21,26,23,18,19,270,,
Brent,Criminal Damage,Other Criminal Damage,49,52,77,47,71,54,59,62,66,55,55,49,696,,
Brent,Drugs,Drug Trafficking,7,17,9,79,13,15,10,7,5,33,89,4,288,,
Brent,Drugs,Other Drugs,4,0,1,0,0,2,1,3,2,0,2,2,17,,
Brent,Drugs,Possession Of Drugs,202,244,259,179,158,228,246,177,195,222,303,241,2654,,
Brent,Fraud or Forgery,Counted per Victim,97,67,101,83,80,102,106,65,72,95,72,89,1029,,
Brent,Fraud or Forgery,Other Fraud & Forgery,28,27,42,45,41,31,31,43,27,36,31,31,413,,
Brent,Other Notifiable Offences,Going Equipped,1,2,4,0,0,1,5,0,1,2,0,2,18,,
Brent,Other Notifiable Offences,Other Notifiable,26,19,37,26,28,23,25,24,21,27,30,35,321,,
Brent,Robbery,Business Property,7,5,10,8,18,25,18,13,11,12,11,8,146,,
Brent,Robbery,Personal Property,142,123,167,125,156,155,130,129,118,159,157,127,1688,,
Brent,Sexual Offences,Other Sexual,14,19,15,20,16,20,18,17,19,11,20,12,201,,
Brent,Sexual Offences,Rape,7,13,8,9,6,10,10,8,12,11,11,7,112,,
Brent,Theft and Handling,Handling Stolen Goods,2,4,7,1,3,2,8,3,3,5,6,3,47,,
Brent,Theft and Handling,Motor Vehicle Interference & Tampering,8,0,4,0,1,9,22,13,7,9,10,4,87,,
Brent,Theft and Handling,Other Theft,215,170,234,194,204,221,223,207,200,240,211,210,2529,,
Brent,Theft and Handling,Other Theft Person,83,91,94,118,100,118,156,82,122,106,178,76,1324,,
Brent,Theft and Handling,Theft From Motor Vehicle,252,169,180,175,175,177,235,195,173,217,191,199,2338,,
Brent,Theft and Handling,Theft From Shops,66,74,88,88,94,70,69,76,56,72,64,94,911,,
Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,57,44,58,54,69,71,78,54,69,88,54,71,767,,
Brent,Theft and Handling,Theft/Taking of Pedal Cycle,10,12,29,27,50,41,56,39,48,46,36,19,413,,
