Boroughs,Children in Poverty,Population,Poverty Rate
Barking and Dagenham,64270,175600,36.6
Barnet,77884,343100,22.7
Bexley,43599,225900,19.3
Brent,81760,255500,32
Bromley,53354,310200,17.2
Camden,87394,231200,37.8
Croydon,90156,342800,26.3
Ealing,90864,316600,28.7
Enfield,101338,291200,34.8
Greenwich,73483,226100,32.5
Hackney,87048,216000,40.3
Hammersmith and Fulham,57359,169700,33.8
Haringey,82082,225500,36.4
Harrow,52691,228100,23.1
Havering,45181,234100,19.3
Hillingdon,64313,262500,24.5
Hounslow,63702,234200,27.2
Islington,84008,191800,43.8
Kensington and Chelsea,46213,169900,27.2
Kingston upon Thames,26339,166700,15.8
Lambeth,97455,283300,34.4
Lewisham,86756,264500,32.8
Merton,41074,206400,19.9
Newham,94550,241200,39.2
Redbridge,72547,267700,27.1
Richmond upon Thames,21735,189000,11.5
Southwark,92534,285600,32.4
Sutton,33251,192200,17.3
Tower Hamlets,124444,234800,53
Waltham Forest,73346,224300,32.7
Wandsworth,71363,286600,24.9
Westminster,96518,249400,38.7
